dataset,competencia,pais_economia,anio,indicador,dimension,grupo,nivel,valor,valor_2,valor_3,unidad,nota,fuente,archivo_origen
Resultados internacionales 2025,Ciencia,B-S-J-Z (China),2025,Puntaje medio,,,,597,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,B-S-J-Z (China),2025,Puntaje medio,,,,527,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,B-S-J-Z (China),2025,Puntaje medio,,,,612,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Singapur,2025,Puntaje medio,,,,560,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Singapur,2025,Puntaje medio,,,,535,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Singapur,2025,Puntaje medio,,,,563,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Macao (China),2025,Puntaje medio,,,,541,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Macao (China),2025,Puntaje medio,,,,501,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Macao (China),2025,Puntaje medio,,,,549,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Chinese Taipei,2025,Puntaje medio,,,,540,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Chinese Taipei,2025,Puntaje medio,,,,508,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Chinese Taipei,2025,Puntaje medio,,,,546,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Japón,2025,Puntaje medio,,,,538,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Japón,2025,Puntaje medio,,,,503,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Japón,2025,Puntaje medio,,,,525,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Estonia,2025,Puntaje medio,,,,527,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Estonia,2025,Puntaje medio,,,,499,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Estonia,2025,Puntaje medio,,,,508,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Corea,2025,Puntaje medio,,,,526,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Corea,2025,Puntaje medio,,,,501,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Corea,2025,Puntaje medio,,,,522,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Reino Unido,2025,Puntaje medio,,,,511,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Reino Unido,2025,Puntaje medio,,,,494,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Matemática,Reino Unido,2025,Puntaje medio,,,,488,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Ciencia,Canadá*,2025,Puntaje medio,,,,510,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
Resultados internacionales 2025,Lectura,Canadá*,2025,Puntaje medio,,,,490,,,puntos PISA,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1.",pisa2025_91_participantes_tres_areas.csv
