dataset,registros,archivo_maestro,nota
Benchmark internacional 2025,118,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Comparación regional 2025,42,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Distribución por niveles de desempeño,733,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Equidad y contexto 2025,70,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Evolución de brechas,54,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Fuentes históricas internacionales identificadas,3,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Indicadores internacionales 2025,83,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Inventario de fuentes,6,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Nivel 2 y línea base 2025,9,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Promedio de mejora regional 2009-2025,21,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Puntajes promedio Perú por grupo,93,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Resultados internacionales 2025,273,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Serie regional histórica,189,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
Tendencia por estratos,126,PISA_2025_TODA_LA_INFORMACION_ENCONTRADA.csv,Consolidado desde datos verificados/archivos del aplicativo.
