indicador,competencia,pais_referencia,valor,unidad,fuente
Puntaje promedio,Ciencia,OCDE,482,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Uruguay,445,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Chile,442,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Costa Rica,424,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,México,414,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Colombia,414,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Brasil,409,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Perú,406,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Ecuador,393,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Argentina,393,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,El Salvador,385,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Rep. Dominicana,361,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Paraguay,355,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Ciencia,Guatemala,351,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,OCDE,461,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,Chile,436,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,Uruguay,423,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,Costa Rica,416,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,Brasil,408,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,México,408,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,Colombia,399,puntos,Minedu/UMC brochure PISA 2025; OECD
Puntaje promedio,Lectura,Perú,390,puntos,Minedu/UMC brochure PISA 2025; OECD
