area;pais;puntaje
Ciencia;OCDE;482
Ciencia;Uruguay;445
Ciencia;Chile;442
Ciencia;Costa Rica;424
Ciencia;México;414
Ciencia;Colombia;414
Ciencia;Brasil;409
Ciencia;Perú;406
Ciencia;Ecuador;393
Ciencia;Argentina;393
Ciencia;El Salvador;385
Ciencia;República Dominicana;361
Ciencia;Paraguay;355
Ciencia;Guatemala;351
Lectura;OCDE;461
Lectura;Chile;436
Lectura;Uruguay;423
Lectura;Costa Rica;416
Lectura;Brasil;408
Lectura;México;408
Lectura;Colombia;399
Lectura;Perú;390
Lectura;Argentina;389
Lectura;Ecuador;385
Lectura;El Salvador;366
Lectura;Paraguay;352
Lectura;República Dominicana;346
Lectura;Guatemala;337
Matemática;OCDE;463
Matemática;Uruguay;405
Matemática;Chile;403
Matemática;México;388
Matemática;Costa Rica;387
Matemática;Perú;382
Matemática;Colombia;381
Matemática;Brasil;377
Matemática;Argentina;367
Matemática;Ecuador;366
Matemática;El Salvador;346
Matemática;República Dominicana;339
Matemática;Guatemala;334
Matemática;Paraguay;334
