tema,indicador,peru,unidad,ocde,anio,peru_2022,peru_2018,fuente
Equidad socioeconómica,Estudiantes en cuartil socioeconómico internacional inferior,36,%,,2025,,,OECD PISA 2025 Country Note: Peru
Equidad socioeconómica,Puntaje Ciencia del cuartil internacional inferior,379,puntos,,2025,,,OECD PISA 2025 Country Note: Peru
Equidad socioeconómica,Brecha Ciencia: 25% favorecido - 25% desfavorecido,78,puntos,85,2025,,,OECD PISA 2025 Country Note: Peru
Equidad socioeconómica,Variación de Ciencia explicada por estatus socioeconómico,14,%,12,2025,,,OECD PISA 2025 Country Note: Peru
Equidad socioeconómica,Estudiantes desfavorecidos académicamente resilientes,10,%,12,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Curiosidad por muchas cosas,81,%,73,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Esfuerzo adicional cuando el trabajo es difícil,74,%,60,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Considera que la escuela ha sido pérdida de tiempo,14,%,24,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Mentalidad de crecimiento,45,%,69,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Planifica frecuentemente cómo estudiar,44,%,37,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Comprueba su comprensión mediante preguntas,48,%,49,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Pide ayuda al docente cuando la necesita,79,%,77,2025,,,OECD PISA 2025 Country Note: Peru
Actitudes y aprendizaje,Pide ayuda a compañeros cuando no entiende,81,%,82,2025,,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Escuelas con falta percibida de docentes,27,%,39,2025,18,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Escuelas con falta percibida de personal de apoyo,49,%,39,2025,,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Escuelas con carencia de material educativo,54,%,,2025,55,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Escuelas con carencia de infraestructura,42,%,,2025,33,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Uso digital escolar para aprender,1.4,horas/día,1.7,2025,,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Uso digital escolar para ocio,1.0,horas/día,1.1,2025,,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Distracción digital frecuente en Ciencia,24,%,28,2025,,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Estudiantes en escuelas con prohibición de celular,86,%,49,2025,64,,OECD PISA 2025 Country Note: Peru
Escuela y recursos,Uso semanal de chatbots de IA para aprender,54,%,46,2025,,,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Víctimas frecuentes de bullying,24,%,20,2025,,,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Cyberbullying: publicación de información molesta sin consentimiento,4,%,3,2025,,,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Familia pregunta semanalmente qué hizo en la escuela,58,%,,2025,69,,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Conversaciones semanales sobre problemas escolares,45,%,,2025,59,,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Faltó al menos un día en las dos semanas previas,39,%,22,2025,28,49,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Faltó al menos a una clase en las dos semanas previas,27,%,24,2025,20,46,OECD PISA 2025 Country Note: Peru
Bienestar y asistencia,Llegó tarde en las dos semanas previas,69,%,50,2025,61,62,OECD PISA 2025 Country Note: Peru
Nuevas competencias 2025,Resolución computacional de problemas - puntaje promedio,436,puntos,500,2025,,,OECD PISA 2025 Country Note: Peru
Nuevas competencias 2025,Desempeño mejor de lo esperado según rendimiento en Ciencia,56.0,%,56.3,2025,,,OECD PISA 2025 Country Note: Peru
Nuevas competencias 2025,Ciencia ambiental: alcanza o supera línea base,48,%,74,2025,,,OECD PISA 2025 Country Note: Peru
