competencia,dimension,grupo_1,grupo_2,anio,brecha_grupo1_menos_grupo2,nota
Matemática,Sexo,Hombre,Mujer,2009,18,
Matemática,Sexo,Hombre,Mujer,2012,19,
Matemática,Sexo,Hombre,Mujer,2015,9,
Matemática,Sexo,Hombre,Mujer,2018,16,
Matemática,Sexo,Hombre,Mujer,2022,15,
Matemática,Sexo,Hombre,Mujer,2025,13,
Matemática,Gestión,Privada,Pública,2009,83,
Matemática,Gestión,Privada,Pública,2012,72,
Matemática,Gestión,Privada,Pública,2015,56,
Matemática,Gestión,Privada,Pública,2018,67,
Matemática,Gestión,Privada,Pública,2022,62,
Matemática,Gestión,Privada,Pública,2025,59,
Matemática,Área,Urbana,Rural,2009,86,
Matemática,Área,Urbana,Rural,2012,74,
Matemática,Área,Urbana,Rural,2015,66,
Matemática,Área,Urbana,Rural,2018,73,No comparar 2018 vs 2022 de forma directa
Matemática,Área,Urbana,Rural,2022,56,No comparar 2018 vs 2022 de forma directa
Matemática,Área,Urbana,Rural,2025,49,
Lectura,Sexo,Hombre,Mujer,2009,-22,
Lectura,Sexo,Hombre,Mujer,2012,-22,
Lectura,Sexo,Hombre,Mujer,2015,-7,
Lectura,Sexo,Hombre,Mujer,2018,-11,
Lectura,Sexo,Hombre,Mujer,2022,-8,
Lectura,Sexo,Hombre,Mujer,2025,-17,
Lectura,Gestión,Privada,Pública,2009,87,
Lectura,Gestión,Privada,Pública,2012,69,
Lectura,Gestión,Privada,Pública,2015,67,
Lectura,Gestión,Privada,Pública,2018,76,
Lectura,Gestión,Privada,Pública,2022,66,
Lectura,Gestión,Privada,Pública,2025,62,
Lectura,Área,Urbana,Rural,2009,91,
Lectura,Área,Urbana,Rural,2012,90,
Lectura,Área,Urbana,Rural,2015,93,
Lectura,Área,Urbana,Rural,2018,95,No comparar 2018 vs 2022 de forma directa
Lectura,Área,Urbana,Rural,2022,72,No comparar 2018 vs 2022 de forma directa
Lectura,Área,Urbana,Rural,2025,64,
Ciencia,Sexo,Hombre,Mujer,2009,5,
Ciencia,Sexo,Hombre,Mujer,2012,6,
Ciencia,Sexo,Hombre,Mujer,2015,10,
Ciencia,Sexo,Hombre,Mujer,2018,14,
Ciencia,Sexo,Hombre,Mujer,2022,14,
Ciencia,Sexo,Hombre,Mujer,2025,11,
Ciencia,Gestión,Privada,Pública,2009,79,
Ciencia,Gestión,Privada,Pública,2012,59,
Ciencia,Gestión,Privada,Pública,2015,56,
Ciencia,Gestión,Privada,Pública,2018,64,
Ciencia,Gestión,Privada,Pública,2022,62,
Ciencia,Gestión,Privada,Pública,2025,57,
Ciencia,Área,Urbana,Rural,2009,80,
Ciencia,Área,Urbana,Rural,2012,69,
Ciencia,Área,Urbana,Rural,2015,70,
Ciencia,Área,Urbana,Rural,2018,68,No comparar 2018 vs 2022 de forma directa
Ciencia,Área,Urbana,Rural,2022,59,No comparar 2018 vs 2022 de forma directa
Ciencia,Área,Urbana,Rural,2025,55,
