area;year;national;male;female;public;private
Lectura;2000;327.08484294049106;323.9389937893593;330.4924188985306;;
Lectura;2009;369.69576026267333;358.7303783749239;380.88340650936584;348;435
Lectura;2012;384.1512234621934;372.98871484990894;394.70070768430503;367;436
Lectura;2015;397.54;393.7;401.42;379.93;447.45
Lectura;2018;400.51;395.36;405.88;381.09;457.46
Lectura;2022;408.25;404.19;412.3;391.03;457.11
Lectura;2025;390.13724;381.68001000000004;398.88893;372.7552016848448;435.0841257768188
Matemática;2009;365.1072722397065;373.82305394924606;356.21480466381365;345;428
Matemática;2012;368.1025471273556;377.8172554965971;358.92135262858596;350;422
Matemática;2015;386.56;391.28;381.8;371.85;428.23
Matemática;2018;399.84;407.84;391.51;382.66;450.21
Matemática;2022;391.24;398.82;383.65;375.25;436.6
Matemática;2025;382.43938;388.73157000000003;375.92810000000003;366.1586209427217;424.5385414782155
Ciencia;2009;369.3517713596617;371.5850636829935;367.07321098445937;350;429
Ciencia;2012;373.11344837438645;376.1359264699845;370.25695920258875;358;417
Ciencia;2015;396.68;401.64;391.68;382.25;437.57
Ciencia;2018;404.22;410.72;397.44;388.09;451.5
Ciencia;2022;407.78;414.97;400.59;391.63;453.6
Ciencia;2025;405.60048000000006;411.0504;399.9608;389.6393809264521;446.8730703494896
