area;female;level;male;national;private;public;year
Lectura;52.7;Debajo de Nivel 1;55.3;54.1;;;2000
Lectura;25.7;Nivel 1;25.3;25.5;;;2000
Lectura;15.1;Nivel 2;13.8;14.5;;;2000
Lectura;5.2;Nivel 3;4.6;4.9;;;2000
Lectura;1.2;Nivel 4;0.8;1;;;2000
Lectura;0.1;Nivel 5;0.1;0.1;;;2000
Lectura;11.987444884696;Debajo de Nivel 1b;16.214226311626;14.122041690644881;3.218;17.676;2009
Lectura;19.561307848827;Nivel 1b;24.3;21.993884088759014;9.884;25.939999999999998;2009
Lectura;28.3;Nivel 1a;29;28.652338639972104;24.746000000000002;29.924;2009
Lectura;24.291642457748;Nivel 2;19.893758890418;22.07063614879921;30.922000000000004;19.184;2009
Lectura;12.3;Nivel 3;7.9;10.073200382456035;21.608;6.316000000000001;2009
Lectura;3.133249255656;Nivel 4;2.079596217552;2.6011364770330614;7.789999999999999;0.9120000000000001;2009
Lectura;0.396121754792;Nivel 5;0.493211888688;0.4451539305236009;1.6580000000000001;0.05;2009
Lectura;0.018324079919;Nivel 6;0.064430564042;0.0416086418120909;0.16999999999999998;0;2009
Lectura;8.126648523101638;Debajo de Nivel 1b;11.566614356179272;9.798068809458302;4.356;11.634000000000002;2012
Lectura;18.302337279328643;Nivel 1b;23.091130706214216;20.629129715434654;10.209999999999999;24.144;2012
Lectura;28.490194448734012;Nivel 1a;30.46629105729572;29.450345833841293;22.288;31.865999999999996;2012
Lectura;27.48197709338147;Nivel 2;22.247738764107073;24.938750633673333;30.535999999999994;23.048000000000002;2012
Lectura;13.009733996409205;Nivel 3;9.787341842876323;11.444029022184756;22.05;7.866;2012
Lectura;3.98840851848024;Nivel 4;2.5074293602324405;3.268826194445257;9.044;1.322;2012
Lectura;0.5775389745739629;Nivel 5;0.3334539130949528;0.4589422375279864;1.48;0.11400000000000002;2012
Lectura;0.02316116599082818;Nivel 6;0;0.011907553434411966;0.05000000000000001;0.01;2012
Lectura;6.136000000000001;Debajo de Nivel 1b;6.751;6.444119867686242;2.281;7.912000000000001;2015
Lectura;18.253;Nivel 1b;20.055;19.158097762551545;7.552;23.256000000000004;2015
Lectura;27.615999999999996;Nivel 1a;28.976999999999997;28.300214142578735;20.435000000000002;31.076000000000004;2015
Lectura;27.860000000000003;Nivel 2;26.738999999999997;27.297666264071168;33.217000000000006;25.21;2015
Lectura;15.935999999999998;Nivel 3;14.02;14.974799857544529;26.372000000000003;10.951000000000002;2015
Lectura;3.864;Nivel 4;3.192;3.523654864607755;9.191;1.526;2015
Lectura;0.33;Nivel 5;0.26099999999999995;0.2948553919795151;0.9339999999999999;0.069;2015
Lectura;0.0175;Nivel 6;0.015;0.006591848980523629;0.05;0.005;2015
Lectura;0.35;Debajo de Nivel 1c;0.6;0.35;0.11;0.44;2018
Lectura;4.97;Nivel 1c;6;5.49;1.19;6.96;2018
Lectura;17.33;Nivel 1b;21.75;19.58;7.54;23.69;2018
Lectura;28.4;Nivel 1a;29.33;28.88;19.62;32.03;2018
Lectura;28.26;Nivel 2;23.45;25.81;31.16;23.98;2018
Lectura;15.22;Nivel 3;13.4;14.29;26.11;10.26;2018
Lectura;4.7;Nivel 4;4.92;4.81;11.84;2.41;2018
Lectura;0.72;Nivel 5;0.77;0.75;2.34;0.21;2018
Lectura;0.05;Nivel 6;0.02;0.03;0.1;0.01;2018
Lectura;0.44;Debajo de Nivel 1c;0.55;0.49;0.19;0.6;2022
Lectura;4.03;Nivel 1c;5.26;4.64;1.1;5.89;2022
Lectura;15.59;Nivel 1b;18.03;16.81;6.32;20.5;2022
Lectura;28.48;Nivel 1a;28.44;28.46;19.18;31.73;2022
Lectura;28.28;Nivel 2;26.09;27.18;32.6;25.27;2022
Lectura;17.24;Nivel 3;15.88;16.56;28.7;12.28;2022
Lectura;5.21;Nivel 4;5.12;5.16;10.39;3.32;2022
Lectura;0.7;Nivel 5;0.61;0.65;1.41;0.39;2022
Lectura;0.04;Nivel 6;0.03;0.04;0.1;0.01;2022
Lectura;0.44016000000000005;Debajo de Nivel 1c;0.81179;0.62916;0.06575584281922557;0.8470353210004239;2025
Lectura;4.65859;Nivel 1c;7.6147800000000005;6.161980000000001;2.447873449380496;7.598311600037621;2025
Lectura;17.60716;Nivel 1b;22.944640000000003;20.32156;9.481439570301013;24.51369871052869;2025
Lectura;31.61773;Nivel 1a;30.523880000000002;31.061450000000004;23.62955554214186;33.93553702109882;2025
Lectura;28.24125;Nivel 2;23.877930000000003;26.022260000000003;33.83328958045226;23.00154562137076;2025
Lectura;14.162910000000002;Nivel 3;11.52904;12.823440000000002;23.33485282488569;8.758420812387596;2025
Lectura;2.9915700000000003;Nivel 4;2.51582;2.74962;6.643856697208554;1.243629503623991;2025
Lectura;0.28064;Nivel 5;0.18212;0.23054000000000002;0.5633764928109002;0.1018214099520953;2025
Lectura;0;Nivel 6;0;0;0;0;2025
Matemática;50.885213036402;Debajo de Nivel 1;44.467310114694;47.644062455422;20.582;56.462;2009
Matemática;25.760440025639;Nivel 1;26.011871052218;25.887416988023;25.896000000000004;25.884000000000004;2009
Matemática;15.558865657619;Nivel 2;18.215781844253;16.90065370692;27.962;13.295999999999998;2009
Matemática;5.973784877889;Nivel 3;7.704662796145;6.847907786695;16.262;3.78;2009
Matemática;1.536230714008;Nivel 4;2.641819476298;2.094571920308;6.872;0.5359999999999999;2009
Matemática;0.261094983433;Nivel 5;0.799664545671;0.533081810103;2.05;0.04;2009
Matemática;0.024370705008;Nivel 6;0.158890170721;0.092305332529;0.378;0;2009
Matemática;51.05719864473777;Debajo de Nivel 1;42.64111042570262;46.96796600009873;22.172;55.331999999999994;2012
Matemática;26.447358055850682;Nivel 1;28.847263136201878;27.613430694729622;27.965999999999998;27.496;2012
Matemática;14.84715853179943;Nivel 2;17.48848028500852;16.130531383546405;25.792;12.87;2012
Matemática;5.755925379587012;Nivel 3;7.611071830868755;6.657309161663982;15.656;3.624;2012
Matemática;1.4724702499175908;Nivel 4;2.6776045401634225;2.058024292673558;6.342;0.616;2012
Matemática;0.4153345739170376;Nivel 5;0.6843283799700745;0.5460340419228318;1.9739999999999998;0.06200000000000001;2012
Matemática;0.0045545641904709555;Nivel 6;0.05014140208473058;0.026704425364871144;0.10600000000000001;0;2012
Matemática;39.757000000000005;Debajo de Nivel 1;35.724000000000004;37.73081604909506;19.843999999999998;44.04299999999999;2015
Matemática;28.657999999999998;Nivel 1;28.202999999999996;28.42969732934413;25.388;29.504;2015
Matemática;20.311;Nivel 2;21.669000000000004;20.993365713309117;28.341999999999995;18.398999999999997;2015
Matemática;8.663;Nivel 3;10.863999999999999;9.769247274654731;18.410999999999998;6.719999999999999;2015
Matemática;2.3080000000000003;Nivel 4;3.0639999999999996;2.68928503980337;6.908999999999999;1.202;2015
Matemática;0.288;Nivel 5;0.45499999999999996;0.37128802490267393;1.0669999999999997;0.126;2015
Matemática;0.02142857142857143;Nivel 6;0.025714285714285714;0.016300568890919433;0.06571428571428571;0.008571428571428572;2015
Matemática;34.6;Debajo de Nivel 1;29.59;32.04;12.73;38.63;2018
Matemática;28.97;Nivel 1;27.65;28.29;22.87;30.14;2018
Matemática;23.22;Nivel 2;22.91;23.06;29.74;20.78;2018
Matemática;10.1;Nivel 3;13.09;11.62;21.51;8.25;2018
Matemática;2.74;Nivel 4;5.44;4.11;10.52;1.93;2018
Matemática;0.36;Nivel 5;1.21;0.79;2.42;0.24;2018
Matemática;0.01;Nivel 6;0.13;0.07;0.21;0.02;2018
