pais_economia,ciencia_2025,lectura_2025,matematica_2025,observacion,fuente
B-S-J-Z (China),597,527,612,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Singapur,560,535,563,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Macao (China),541,501,549,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Chinese Taipei,540,508,546,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Japón,538,503,525,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Estonia,527,499,508,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Corea,526,501,522,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Reino Unido,511,494,488,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Canadá*,510,490,485,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Nueva Zelanda*,509,497,480,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Australia,509,491,478,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Finlandia,504,474,469,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Estados Unidos*,502,490,463,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Suiza,501,470,499,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Irlanda,500,500,480,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Austria,497,467,477,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Hong Kong (China),496,480,522,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Polonia,495,482,484,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Türkiye,494,472,462,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Chequia,490,468,477,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Bélgica,490,466,480,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Lituania,488,464,470,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Alemania,486,465,464,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Países Bajos*,485,441,483,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Suecia,485,466,464,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Eslovenia,484,445,460,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Francia,483,456,458,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Italia,483,474,468,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Portugal,482,462,460,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Hungría,480,452,459,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Dinamarca,478,460,471,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
España,477,451,457,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Croacia,476,453,455,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
República Eslovaca,475,448,469,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Luxemburgo,474,443,458,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Noruega*,470,453,452,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Letonia,468,430,460,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Emiratos Árabes Unidos,458,433,453,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Viet Nam,457,392,443,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Malta,453,415,439,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Regiones de Ucrania (17 de 27),448,418,431,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Uruguay,445,423,405,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Chile,442,436,403,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Israel,442,436,433,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Islandia,441,422,450,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Brunéi Darussalam,439,426,435,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Mauricio,438,405,407,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Uzbekistán,438,,,OECD reporta 'm' (dato no disponible) en Lectura y Matemática.,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Montenegro,435,418,411,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Albania*,435,408,433,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Qatar,434,418,416,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Grecia,434,423,424,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Tailandia,432,392,407,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Serbia,429,415,417,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Rumanía,425,413,419,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Mongolia,424,374,419,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Costa Rica,424,416,387,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Georgia,422,384,416,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
Moldova,422,404,410,,"OECD (2026), PISA 2025 Results (Volume I), Executive Summary, Table I.1."
