orden_descriptivo,pais_economia,puntaje_ciencia_2025,fuente
1,B-S-J-Z (China),597,"OECD PISA 2025 Results Volume I, Table I.2.1"
2,Singapur,560,"OECD PISA 2025 Results Volume I, Table I.2.1"
3,Macao (China),541,"OECD PISA 2025 Results Volume I, Table I.2.1"
4,Chinese Taipei,540,"OECD PISA 2025 Results Volume I, Table I.2.1"
5,Japón,538,"OECD PISA 2025 Results Volume I, Table I.2.1"
6,Estonia,527,"OECD PISA 2025 Results Volume I, Table I.2.1"
7,Corea,526,"OECD PISA 2025 Results Volume I, Table I.2.1"
8,Reino Unido,511,"OECD PISA 2025 Results Volume I, Table I.2.1"
9,Canadá*,510,"OECD PISA 2025 Results Volume I, Table I.2.1"
10,Nueva Zelanda*,509,"OECD PISA 2025 Results Volume I, Table I.2.1"
11,Australia,509,"OECD PISA 2025 Results Volume I, Table I.2.1"
12,Finlandia,504,"OECD PISA 2025 Results Volume I, Table I.2.1"
13,Estados Unidos*,502,"OECD PISA 2025 Results Volume I, Table I.2.1"
14,Suiza,501,"OECD PISA 2025 Results Volume I, Table I.2.1"
15,Irlanda,500,"OECD PISA 2025 Results Volume I, Table I.2.1"
16,Austria,497,"OECD PISA 2025 Results Volume I, Table I.2.1"
17,Hong Kong (China),496,"OECD PISA 2025 Results Volume I, Table I.2.1"
18,Polonia,495,"OECD PISA 2025 Results Volume I, Table I.2.1"
19,Türkiye,494,"OECD PISA 2025 Results Volume I, Table I.2.1"
20,Chequia,490,"OECD PISA 2025 Results Volume I, Table I.2.1"
21,Bélgica,490,"OECD PISA 2025 Results Volume I, Table I.2.1"
22,Lituania,488,"OECD PISA 2025 Results Volume I, Table I.2.1"
23,Alemania,486,"OECD PISA 2025 Results Volume I, Table I.2.1"
24,Países Bajos*,485,"OECD PISA 2025 Results Volume I, Table I.2.1"
25,Suecia,485,"OECD PISA 2025 Results Volume I, Table I.2.1"
26,Eslovenia,484,"OECD PISA 2025 Results Volume I, Table I.2.1"
27,Francia,483,"OECD PISA 2025 Results Volume I, Table I.2.1"
28,Italia,483,"OECD PISA 2025 Results Volume I, Table I.2.1"
29,Portugal,482,"OECD PISA 2025 Results Volume I, Table I.2.1"
30,Hungría,480,"OECD PISA 2025 Results Volume I, Table I.2.1"
31,Dinamarca,478,"OECD PISA 2025 Results Volume I, Table I.2.1"
32,España,477,"OECD PISA 2025 Results Volume I, Table I.2.1"
33,Croacia,476,"OECD PISA 2025 Results Volume I, Table I.2.1"
34,República Eslovaca,475,"OECD PISA 2025 Results Volume I, Table I.2.1"
35,Luxemburgo,474,"OECD PISA 2025 Results Volume I, Table I.2.1"
36,Noruega*,470,"OECD PISA 2025 Results Volume I, Table I.2.1"
37,Letonia,468,"OECD PISA 2025 Results Volume I, Table I.2.1"
38,Emiratos Árabes Unidos,458,"OECD PISA 2025 Results Volume I, Table I.2.1"
39,Viet Nam,457,"OECD PISA 2025 Results Volume I, Table I.2.1"
40,Malta,453,"OECD PISA 2025 Results Volume I, Table I.2.1"
41,Regiones de Ucrania (17 de 27),448,"OECD PISA 2025 Results Volume I, Table I.2.1"
42,Uruguay,445,"OECD PISA 2025 Results Volume I, Table I.2.1"
43,Chile,442,"OECD PISA 2025 Results Volume I, Table I.2.1"
44,Israel,442,"OECD PISA 2025 Results Volume I, Table I.2.1"
45,Islandia,441,"OECD PISA 2025 Results Volume I, Table I.2.1"
46,Brunéi Darussalam,439,"OECD PISA 2025 Results Volume I, Table I.2.1"
47,Mauricio,438,"OECD PISA 2025 Results Volume I, Table I.2.1"
48,Uzbekistán,438,"OECD PISA 2025 Results Volume I, Table I.2.1"
49,Montenegro,435,"OECD PISA 2025 Results Volume I, Table I.2.1"
50,Albania*,435,"OECD PISA 2025 Results Volume I, Table I.2.1"
51,Qatar,434,"OECD PISA 2025 Results Volume I, Table I.2.1"
52,Grecia,434,"OECD PISA 2025 Results Volume I, Table I.2.1"
53,Tailandia,432,"OECD PISA 2025 Results Volume I, Table I.2.1"
54,Serbia,429,"OECD PISA 2025 Results Volume I, Table I.2.1"
55,Rumanía,425,"OECD PISA 2025 Results Volume I, Table I.2.1"
56,Mongolia,424,"OECD PISA 2025 Results Volume I, Table I.2.1"
57,Costa Rica,424,"OECD PISA 2025 Results Volume I, Table I.2.1"
58,Georgia,422,"OECD PISA 2025 Results Volume I, Table I.2.1"
59,Moldova,422,"OECD PISA 2025 Results Volume I, Table I.2.1"
60,Bulgaria,421,"OECD PISA 2025 Results Volume I, Table I.2.1"
61,Kazajistán,420,"OECD PISA 2025 Results Volume I, Table I.2.1"
62,Malasia,419,"OECD PISA 2025 Results Volume I, Table I.2.1"
63,Colombia,414,"OECD PISA 2025 Results Volume I, Table I.2.1"
64,México,414,"OECD PISA 2025 Results Volume I, Table I.2.1"
65,Arabia Saudita,413,"OECD PISA 2025 Results Volume I, Table I.2.1"
66,Chipre,411,"OECD PISA 2025 Results Volume I, Table I.2.1"
67,Azerbaiyán,409,"OECD PISA 2025 Results Volume I, Table I.2.1"
68,Brasil,409,"OECD PISA 2025 Results Volume I, Table I.2.1"
69,Jordania,407,"OECD PISA 2025 Results Volume I, Table I.2.1"
70,Perú,406,"OECD PISA 2025 Results Volume I, Table I.2.1"
71,Ecuador,393,"OECD PISA 2025 Results Volume I, Table I.2.1"
72,Argentina,393,"OECD PISA 2025 Results Volume I, Table I.2.1"
73,Indonesia,389,"OECD PISA 2025 Results Volume I, Table I.2.1"
74,El Salvador,385,"OECD PISA 2025 Results Volume I, Table I.2.1"
75,Camboya,382,"OECD PISA 2025 Results Volume I, Table I.2.1"
76,Macedonia del Norte,378,"OECD PISA 2025 Results Volume I, Table I.2.1"
77,Filipinas,373,"OECD PISA 2025 Results Volume I, Table I.2.1"
78,Líbano,372,"OECD PISA 2025 Results Volume I, Table I.2.1"
79,Armenia,369,"OECD PISA 2025 Results Volume I, Table I.2.1"
80,Kirguistán,363,"OECD PISA 2025 Results Volume I, Table I.2.1"
81,República Dominicana,361,"OECD PISA 2025 Results Volume I, Table I.2.1"
82,Autoridad Palestina,359,"OECD PISA 2025 Results Volume I, Table I.2.1"
83,Marruecos,358,"OECD PISA 2025 Results Volume I, Table I.2.1"
84,Kosovo,357,"OECD PISA 2025 Results Volume I, Table I.2.1"
85,Paraguay,355,"OECD PISA 2025 Results Volume I, Table I.2.1"
86,Región del Kurdistán (Iraq),352,"OECD PISA 2025 Results Volume I, Table I.2.1"
87,Guatemala,351,"OECD PISA 2025 Results Volume I, Table I.2.1"
88,Zambia,337,"OECD PISA 2025 Results Volume I, Table I.2.1"
89,Kenia,335,"OECD PISA 2025 Results Volume I, Table I.2.1"
90,Dushanbe (Tayikistán),334,"OECD PISA 2025 Results Volume I, Table I.2.1"
91,Ruanda,317,"OECD PISA 2025 Results Volume I, Table I.2.1"
