edicion,competencia,pais_economia,puntaje_medio,tipo,fuente
2009,Ciencia,Albania,391,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Alemania,520,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Argentina,401,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Australia,527,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Brasil,405,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Bulgaria,439,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Bélgica,507,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Canadá,529,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Chequia,500,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Chile,447,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Chinese Taipei,520,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Colombia,402,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Corea,538,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Costa Rica,430,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Croacia,486,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Dinamarca,499,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Emiratos Árabes Unidos,438,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Eslovenia,512,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,España,488,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Estados Unidos,502,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Estonia,528,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Finlandia,554,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Francia,498,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Georgia,373,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Grecia,470,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Hong Kong (China),549,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Hungría,503,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Indonesia,383,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Irlanda,508,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Islandia,496,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Israel,455,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Italia,489,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Japón,539,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Kazajistán,400,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Letonia,494,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Lituania,491,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Macao (China),511,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Malasia,422,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Malta,461,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Moldova,413,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Montenegro,401,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,México,416,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Noruega,500,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Nueva Zelanda,532,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,OCDE,498,referencia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Panamá,376,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Países Bajos,522,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Perú,369,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Polonia,508,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Portugal,493,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Qatar,379,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Reino Unido,514,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,República Eslovaca,490,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
2009,Ciencia,Rumanía,428,pais_economia,"OECD, PISA 2022 Results (Volume I), Tables I.B1.5.4 (Mathematics), I.B1.5.5 (Reading), I.B1.5.6 (Science)."
