competencia,pais,promedio_mejora,fuente,nota
Ciencia,Perú,7.2,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Ciencia,Uruguay,3.5,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Ciencia,Colombia,2.4,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Ciencia,Brasil,0.6,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Ciencia,México,-0.5,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Ciencia,Chile,-1.0,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Ciencia,Costa Rica,-1.3,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,Perú,4.1,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,Uruguay,-0.5,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,Brasil,-0.7,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,Chile,-2.7,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,Colombia,-2.8,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,México,-3.5,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Lectura,Costa Rica,-5.3,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,Perú,3.5,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,Colombia,-0.1,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,Brasil,-1.8,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,Chile,-3.7,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,Uruguay,-4.4,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,Costa Rica,-4.5,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
Matemática,México,-6.2,"Minedu/UMC, Brochure resultados PISA 2025",Indicador publicado; no equivale a diferencia simple 2025-2009
