competencia,pais_referencia,anio,puntaje,tipo,fuente,nota
Matemática,OCDE,2009,492,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,OCDE,2012,490,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,OCDE,2015,487,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,OCDE,2018,489,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,OCDE,2022,472,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,OCDE,2025,463,Referencia OCDE,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Argentina,2009,388,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Argentina,2012,388,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Argentina,2018,379,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Argentina,2022,378,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Argentina,2025,367,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Brasil,2009,386,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Brasil,2012,389,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Brasil,2015,377,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Brasil,2018,384,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Brasil,2022,379,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Brasil,2025,377,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Chile,2009,421,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Chile,2012,423,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Chile,2015,423,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Chile,2018,417,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Chile,2022,412,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Chile,2025,403,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Colombia,2009,381,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Colombia,2012,376,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Colombia,2015,390,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Colombia,2018,391,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Colombia,2022,383,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Colombia,2025,381,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Costa Rica,2009,409,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Costa Rica,2012,407,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Costa Rica,2015,400,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Costa Rica,2018,402,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Costa Rica,2022,385,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Costa Rica,2025,387,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,El Salvador,2022,343,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,El Salvador,2025,346,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Guatemala,2022,344,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Guatemala,2025,334,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,México,2009,419,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,México,2012,413,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,México,2015,408,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,México,2018,409,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,México,2022,395,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,México,2025,388,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Paraguay,2022,338,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Paraguay,2025,334,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Perú,2009,365,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Perú,2012,368,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Perú,2015,387,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Perú,2018,400,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Perú,2022,391,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Perú,2025,382,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Rep. Dominicana,2015,328,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Rep. Dominicana,2018,325,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Rep. Dominicana,2022,339,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Rep. Dominicana,2025,339,País,"Minedu/UMC, Brochure resultados PISA 2025",
Matemática,Uruguay,2009,427,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Uruguay,2012,409,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Uruguay,2015,418,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Uruguay,2018,418,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Uruguay,2022,409,País,"UMC-Minedu, Informe nacional PISA 2022",
Matemática,Uruguay,2025,405,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,OCDE,2009,490,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,OCDE,2012,493,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,OCDE,2015,490,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,OCDE,2018,487,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,OCDE,2022,476,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,OCDE,2025,461,Referencia OCDE,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Argentina,2009,398,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Argentina,2012,396,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Argentina,2018,402,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Argentina,2022,401,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Argentina,2025,389,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Brasil,2009,412,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Brasil,2012,407,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Brasil,2015,407,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Brasil,2018,413,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Brasil,2022,410,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Brasil,2025,408,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Chile,2009,449,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Chile,2012,441,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Chile,2015,459,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Chile,2018,452,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Chile,2022,448,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Chile,2025,436,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Colombia,2009,413,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Colombia,2012,403,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Colombia,2015,425,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Colombia,2018,412,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Colombia,2022,409,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Colombia,2025,399,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Costa Rica,2009,443,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Costa Rica,2012,441,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Costa Rica,2015,427,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Costa Rica,2018,426,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Costa Rica,2022,415,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Costa Rica,2025,416,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,El Salvador,2022,365,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,El Salvador,2025,366,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Guatemala,2022,374,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Guatemala,2025,337,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,México,2009,425,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,México,2012,424,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,México,2015,423,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,México,2018,420,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,México,2022,415,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,México,2025,408,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Paraguay,2022,373,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Paraguay,2025,352,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Perú,2009,370,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Perú,2012,384,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Perú,2015,398,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Perú,2018,401,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Perú,2022,408,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Perú,2025,390,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Rep. Dominicana,2015,358,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Rep. Dominicana,2018,342,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Rep. Dominicana,2022,351,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Rep. Dominicana,2025,346,País,"Minedu/UMC, Brochure resultados PISA 2025",
Lectura,Uruguay,2009,426,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Uruguay,2012,411,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Uruguay,2015,437,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Uruguay,2018,427,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Uruguay,2022,430,País,"UMC-Minedu, Informe nacional PISA 2022",
Lectura,Uruguay,2025,423,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,OCDE,2009,498,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,OCDE,2012,498,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,OCDE,2015,491,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,OCDE,2018,489,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,OCDE,2022,485,Referencia OCDE,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,OCDE,2025,482,Referencia OCDE,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Argentina,2009,401,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Argentina,2012,406,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Argentina,2018,404,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Argentina,2022,406,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Argentina,2025,393,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Brasil,2009,405,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Brasil,2012,402,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Brasil,2015,401,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Brasil,2018,404,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Brasil,2022,403,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Brasil,2025,409,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Chile,2009,447,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Chile,2012,445,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Chile,2015,447,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Chile,2018,444,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Chile,2022,444,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Chile,2025,442,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Colombia,2009,402,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Colombia,2012,399,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Colombia,2015,416,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Colombia,2018,413,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Colombia,2022,411,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Colombia,2025,414,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Costa Rica,2009,430,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Costa Rica,2012,429,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Costa Rica,2015,420,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Costa Rica,2018,416,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Costa Rica,2022,411,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Costa Rica,2025,424,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,El Salvador,2022,373,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,El Salvador,2025,385,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Guatemala,2022,373,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Guatemala,2025,351,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,México,2009,416,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,México,2012,415,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,México,2015,416,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,México,2018,419,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,México,2022,410,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,México,2025,414,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Paraguay,2022,368,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Paraguay,2025,355,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Perú,2009,369,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Perú,2012,373,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Perú,2015,397,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Perú,2018,404,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Perú,2022,408,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Perú,2025,406,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Rep. Dominicana,2015,332,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Rep. Dominicana,2018,336,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Rep. Dominicana,2022,360,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Rep. Dominicana,2025,361,País,"Minedu/UMC, Brochure resultados PISA 2025",
Ciencia,Uruguay,2009,427,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Uruguay,2012,416,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Uruguay,2015,435,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Uruguay,2018,426,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Uruguay,2022,435,País,"UMC-Minedu, Informe nacional PISA 2022",
Ciencia,Uruguay,2025,445,País,"Minedu/UMC, Brochure resultados PISA 2025",
