competencia,dimension,grupo,anio,puntaje,comparabilidad_area,fuente
Matemática,Nacional,Perú,2009,365,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Nacional,Perú,2012,368,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Nacional,Perú,2015,387,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Nacional,Perú,2018,400,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Nacional,Perú,2022,391,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Nacional,Perú,2025,382,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Hombre,2009,374,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Hombre,2012,378,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Hombre,2015,391,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Hombre,2018,408,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Hombre,2022,399,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Hombre,2025,389,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Mujer,2009,356,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Mujer,2012,359,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Mujer,2015,382,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Mujer,2018,392,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Mujer,2022,384,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Sexo,Mujer,2025,376,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Privada,2009,428,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Privada,2012,422,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Privada,2015,428,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Privada,2018,450,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Privada,2022,437,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Privada,2025,425,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Pública,2009,345,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Pública,2012,350,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Pública,2015,372,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Pública,2018,383,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Pública,2022,375,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Gestión,Pública,2025,366,,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Urbana,2009,377,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Urbana,2012,376,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
Matemática,Área,Urbana,2015,393,Ruptura metodológica entre 2018 y 2022 por cambio de definición de ruralidad,UMC PISA 2022 / Minedu Brochure PISA 2025
